Date,Time,Currency,Impact,Description,Actual,Forecast,Previous
FriFeb 2,8:00pm,CNY,Low Impact Expected,Non-Manufacturing PMI,55.6,,
SunFeb 4,4:45pm,NZD,High Impact Expected,Labor Cost Index q/q,1.0%,0.7%,0.8%
SunFeb 4,5:30pm,AUD,Low Impact Expected,AIG Services Index,49.5,,49.5
SunFeb 4,6:30pm,AUD,Low Impact Expected,MI Inflation Gauge m/m,0.0%,,0.3%
SunFeb 4,7:30pm,AUD,High Impact Expected,Building Approvals m/m,-1.9%,-0.8%,3.5%
MonFeb 5,3:15am,EUR,Low Impact Expected,Spanish Services PMI,57.9,,58.1
MonFeb 5,3:45am,EUR,Low Impact Expected,Italian Services PMI,55.4,54.9,55.0
MonFeb 5,4:00am,EUR,Low Impact Expected,Final Services PMI,57.9,56.8,57.2
MonFeb 5,4:30am,EUR,Low Impact Expected,Sentix Investor Confidence,31.1,30.5,29.5
MonFeb 5,5:00am,EUR,Low Impact Expected,Italian Prelim CPI m/m,0.2%,0.1%,0.1%
MonFeb 5,10:00am,CAD,High Impact Expected,Ivey PMI,53.8,52.0,49.4
MonFeb 5,2:00pm,USD,Low Impact Expected,Loan Officer Survey,,,
MonFeb 5,All Day,NZD,Non-Economic,Bank Holiday,,,
TueFeb 6,12:00am,JPY,Low Impact Expected,Leading Indicators,25.0%,25.0%,18.2%
TueFeb 6,3:00am,CHF,Low Impact Expected,Foreign Currency Reserves,45B,,46B
TueFeb 6,5:00am,EUR,Low Impact Expected,Retail Sales m/m,0.3%,1.0%,0.5%
TueFeb 6,6:00am,EUR,Medium Impact Expected,German Factory Orders m/m,-0.2%,0.5%,0.8%
TueFeb 6,8:30am,CAD,Medium Impact Expected,Building Permits m/m,-7.8%,-2.0%,2.6%
TueFeb 6,10:00am,USD,Low Impact Expected,JOLTS Job Openings,4.43M,,4.29M
TueFeb 6,12:00pm,CAD,Medium Impact Expected,Gov Council Member Longworth Speaks,,,
TueFeb 6,5:00pm,USD,Medium Impact Expected,Fed Chairman Bernanke Speaks,,,
TueFeb 6,5:30pm,AUD,High Impact Expected,Cash Rate,6.25%,6.25%,6.25%
TueFeb 6,7:01pm,GBP,Low Impact Expected,Nationwide Consumer Confidence,84,85,83
TueFeb 6,8:59pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,3.8%,,2.1%
TueFeb 6,9:00pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,1.3%,,3.8%
WedFeb 7,1:45am,CHF,Low Impact Expected,Unemployment Rate,3.0%,3.1%,3.1%
WedFeb 7,2:45am,EUR,Low Impact Expected,French Gov Budget Balance,-36.2B,,-54.9B
WedFeb 7,4:30am,GBP,High Impact Expected,Manufacturing Production m/m,0.2%,0.1%,0.2%
WedFeb 7,5:30am,GBP,Low Impact Expected,BRC Shop Price Index y/y,1.8%,,2.3%
WedFeb 7,6:00am,EUR,Medium Impact Expected,German Industrial Production m/m,-0.5%,0.5%,2.0%
WedFeb 7,8:30am,USD,Medium Impact Expected,Prelim Nonfarm Productivity q/q,3.0%,2.0%,0.2%
WedFeb 7,10:30am,USD,Low Impact Expected,Crude Oil Inventories,-0.4M,2.0M,2.7M
WedFeb 7,1:00pm,USD,Medium Impact Expected,10-y Bond Auction,4.74|2.4,,4.58|2.5
WedFeb 7,3:00pm,USD,Low Impact Expected,Consumer Credit m/m,6.0B,7.0B,13.7B
WedFeb 7,4:45pm,NZD,High Impact Expected,Employment Change q/q,-0.1%,0.0%,-0.4%
WedFeb 7,6:50pm,JPY,Low Impact Expected,Bank Lending y/y,1.7%,,1.7%
WedFeb 7,7:01pm,GBP,Low Impact Expected,NIESR GDP Estimate,0.8%,,0.8%
WedFeb 7,7:30pm,AUD,High Impact Expected,Employment Change,-3.6K,3.0K,46.0K
ThuFeb 8,1:00am,JPY,Low Impact Expected,Prelim Machine Tool Orders y/y,5.7%,,-1.9%
ThuFeb 8,1:45am,CHF,High Impact Expected,CPI m/m,-0.7%,-0.3%,0.0%
ThuFeb 8,2:00am,EUR,Low Impact Expected,German Trade Balance,14.4B,17.0B,19.1B
ThuFeb 8,3:00am,GBP,High Impact Expected,Halifax HPI m/m,1.3%,0.4%,-0.9%
ThuFeb 8,7:00am,GBP,High Impact Expected,Official Bank Rate,5.25%,5.25%,5.25%
ThuFeb 8,7:45am,EUR,Medium Impact Expected,Main Refinancing Rate,3.50%,3.50%,3.50%
ThuFeb 8,8:15am,CAD,High Impact Expected,Housing Starts,249K,216K,213K
ThuFeb 8,8:30am,CAD,Low Impact Expected,NHPI m/m,0.0%,0.5%,0.5%
ThuFeb 8,10:00am,USD,Low Impact Expected,Final Wholesale Inventories m/m,-0.5%,0.6%,1.1%
ThuFeb 8,10:30am,USD,Low Impact Expected,Natural Gas Storage,-224B,-219B,-186B
ThuFeb 8,1:00pm,USD,Low Impact Expected,30-y Bond Auction,4.81|2.5,,5.08|1.8
ThuFeb 8,6:50pm,JPY,Medium Impact Expected,Core Machinery Orders m/m,-0.7%,-0.5%,3.8%
ThuFeb 8,7:30pm,AUD,Medium Impact Expected,Home Loans m/m,0.1%,0.3%,-0.4%
FriFeb 9,2:00am,EUR,Low Impact Expected,German WPI m/m,0.0%,-0.2%,0.0%
FriFeb 9,2:45am,EUR,Medium Impact Expected,French Industrial Production m/m,1.1%,0.2%,-0.4%
FriFeb 9,4:00am,EUR,Low Impact Expected,Italian Industrial Production m/m,2.0%,0.7%,0.5%
FriFeb 9,Day 1,All,Medium Impact Expected,G7 Meetings,,,
FriFeb 9,4:30am,GBP,High Impact Expected,Goods Trade Balance,-7.1B,-7.0B,-6.9B
FriFeb 9,7:00am,CAD,High Impact Expected,Employment Change,89.0K,25.0K,62.0K
SatFeb 10,Day 2,All,High Impact Expected,G7 Meetings,,,
SunFeb 11,All Day,JPY,Non-Economic,Bank Holiday,,,
SunFeb 11,7:30pm,AUD,High Impact Expected,RBA Monetary Policy Statement,,,
SunFeb 11,10:10pm,CNY,High Impact Expected,USD-Denominated Trade Balance,15.9B,15.5B,21.0B
MonFeb 12,4:30am,GBP,High Impact Expected,PPI Input m/m,-2.0%,-0.8%,0.1%
MonFeb 12,10:30am,GBP,Low Impact Expected,CB Leading Index m/m,0.1%,,0.1%
MonFeb 12,2:00pm,USD,Medium Impact Expected,Federal Budget Balance,38.2B,40.0B,44.5B
MonFeb 12,4:45pm,NZD,High Impact Expected,PPI Input q/q,-0.3%,0.0%,2.0%
MonFeb 12,6:50pm,JPY,Low Impact Expected,PPI y/y,2.2%,2.4%,2.5%
MonFeb 12,7:30pm,AUD,Low Impact Expected,NAB Business Confidence,6,,4
MonFeb 12,9:00pm,CNY,Medium Impact Expected,PPI y/y,3.3%,2.9%,3.1%
TueFeb 13,12:00am,JPY,Low Impact Expected,Consumer Confidence,48.1,48.8,45.9
TueFeb 13,2:00am,EUR,High Impact Expected,German Prelim GDP q/q,0.9%,0.6%,0.8%
TueFeb 13,2:45am,EUR,Low Impact Expected,French Prelim GDP q/q,0.6%,0.5%,0.0%
TueFeb 13,3:00am,EUR,Low Impact Expected,Spanish Flash GDP q/q,1.1%,1.1%,0.9%
TueFeb 13,4:00am,EUR,Low Impact Expected,Italian Prelim GDP q/q,1.1%,0.4%,0.3%
TueFeb 13,4:30am,GBP,High Impact Expected,CPI y/y,2.7%,2.9%,3.0%
TueFeb 13,5:00am,EUR,Medium Impact Expected,Flash GDP q/q,0.9%,0.6%,0.2%
TueFeb 13,7:30am,USD,Low Impact Expected,NFIB Small Business Index,98.9,,96.5
TueFeb 13,8:30am,CAD,Medium Impact Expected,Trade Balance,5.0B,4.7B,4.7B
TueFeb 13,10:00am,USD,Low Impact Expected,IBD/TIPP Economic Optimism,52.7,54.0,53.7
TueFeb 13,4:45pm,NZD,Low Impact Expected,FPI m/m,1.4%,,-0.5%
TueFeb 13,6:30pm,AUD,Low Impact Expected,Westpac Consumer Sentiment,1.7%,,7.3%
TueFeb 13,6:50pm,JPY,Low Impact Expected,Current Account,1.87T,2.01T,1.95T
TueFeb 13,9:00pm,CNY,Medium Impact Expected,CPI y/y,2.2%,2.7%,2.8%
TueFeb 13,11:30pm,JPY,Low Impact Expected,Revised Industrial Production m/m,0.9%,0.7%,0.7%
WedFeb 14,1:25am,CNY,Low Impact Expected,Foreign Direct Investment ytd/y,13.8%,,4.2%
WedFeb 14,4:30am,GBP,High Impact Expected,Claimant Count Change,-13.5K,-5.0K,-5.5K
WedFeb 14,5:10am,EUR,Low Impact Expected,German 10-y Bond Auction,4.11|1.8,,3.94|1.8
WedFeb 14,5:30am,GBP,High Impact Expected,BOE Gov King Speaks,,,
WedFeb 14,8:30am,CAD,Low Impact Expected,New Motor Vehicle Sales m/m,5.6%,5.0%,3.4%
WedFeb 14,10:00am,USD,High Impact Expected,Fed Chairman Bernanke Testifies,,,
WedFeb 14,10:30am,USD,Low Impact Expected,Crude Oil Inventories,-0.6M,1.0M,-0.4M
WedFeb 14,4:30pm,AUD,Low Impact Expected,MI Inflation Expectations,3.2%,,3.5%
WedFeb 14,4:45pm,NZD,High Impact Expected,Core Retail Sales m/m,0.2%,0.2%,-0.1%
WedFeb 14,6:00pm,NZD,Low Impact Expected,BusinessNZ Manufacturing Index,56.0,,54.3
WedFeb 14,6:50pm,JPY,High Impact Expected,Prelim GDP q/q,1.2%,0.9%,0.1%
WedFeb 14,7:01pm,GBP,Medium Impact Expected,RICS House Price Balance,28%,34%,37%
WedFeb 14,7:30pm,AUD,Low Impact Expected,HPI q/q,0.9%,1.8%,2.1%
ThuFeb 15,4:30am,GBP,High Impact Expected,Retail Sales m/m,-1.8%,0.2%,1.1%
ThuFeb 15,5:00am,CHF,Medium Impact Expected,Credit Suisse Economic Expectations,-17.3,,-10.8
ThuFeb 15,6:00am,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
ThuFeb 15,8:30am,CAD,Medium Impact Expected,Manufacturing Sales m/m,1.7%,0.6%,2.4%
ThuFeb 15,9:00am,USD,High Impact Expected,TIC Long-Term Purchases,15.6B,60.0B,84.9B
ThuFeb 15,9:15am,USD,Medium Impact Expected,Capacity Utilization Rate,81.2%,81.8%,81.8%
ThuFeb 15,10:00am,USD,High Impact Expected,Fed Chairman Bernanke Testifies,,,
ThuFeb 15,10:30am,CAD,Low Impact Expected,BOC Review,,,
ThuFeb 15,12:00pm,USD,Medium Impact Expected,Philly Fed Manufacturing Index,0.6,3.5,8.3
ThuFeb 15,1:00pm,USD,Low Impact Expected,NAHB Housing Market Index,40,35,35
ThuFeb 15,6:50pm,JPY,Medium Impact Expected,Tertiary Industry Activity m/m,-0.4%,-0.1%,0.0%
FriFeb 16,2:00am,EUR,Low Impact Expected,German Final CPI m/m,-0.2%,-0.2%,-0.2%
FriFeb 16,2:45am,EUR,Medium Impact Expected,French Prelim Private Payrolls q/q,0.2%,0.2%,0.2%
FriFeb 16,3:15am,CHF,Medium Impact Expected,Retail Sales y/y,0.8%,2.5%,3.3%
FriFeb 16,4:00am,EUR,Low Impact Expected,Italian Trade Balance,-0.59B,-0.20B,-0.93B
FriFeb 16,5:00am,EUR,Low Impact Expected,Trade Balance,0.7B,3.2B,4.4B
FriFeb 16,8:30am,USD,High Impact Expected,PPI m/m,-0.6%,-0.6%,0.9%
FriFeb 16,10:00am,USD,High Impact Expected,Prelim UoM Consumer Sentiment,93.3,96.5,96.9
SunFeb 18,7:00pm,CNY,Non-Economic,Bank Holiday,,,
SunFeb 18,7:01pm,GBP,Low Impact Expected,Rightmove HPI m/m,0.9%,,0.5%
MonFeb 19,6:00am,EUR,Medium Impact Expected,German Buba Monthly Report,,,
MonFeb 19,All Day,USD,Non-Economic,Bank Holiday,,,
MonFeb 19,8:30am,CAD,Medium Impact Expected,Foreign Securities Purchases,-3.26B,3.89B,11.14B
MonFeb 19,All Day,CNY,Non-Economic,Bank Holiday,,,
TueFeb 20,2:00am,EUR,Low Impact Expected,German PPI m/m,0.0%,0.1%,0.0%
TueFeb 20,2:15am,CHF,Medium Impact Expected,Trade Balance,1.27B,0.75B,0.41B
TueFeb 20,3:15am,CHF,Medium Impact Expected,PPI m/m,-0.2%,-0.1%,0.0%
TueFeb 20,4:30am,GBP,Low Impact Expected,M4 Money Supply m/m,0.9%,0.8%,0.9%
TueFeb 20,7:00am,CAD,High Impact Expected,Core CPI m/m,0.1%,0.1%,-0.2%
TueFeb 20,7:30am,CAD,Low Impact Expected,Gov Council Member Jenkins Speaks,,,
TueFeb 20,8:30am,CAD,Low Impact Expected,Leading Index m/m,0.5%,0.4%,0.2%
TueFeb 20,6:00pm,AUD,Medium Impact Expected,RBA Gov Stevens Speaks,,,
TueFeb 20,6:30pm,AUD,Low Impact Expected,MI Leading Index m/m,0.6%,,0.5%
TueFeb 20,All Day,CNY,Non-Economic,Bank Holiday,,,
TueFeb 20,7:30pm,AUD,Low Impact Expected,New Motor Vehicle Sales m/m,5.3%,,1.4%
TueFeb 20,11:00pm,JPY,High Impact Expected,Overnight Call Rate,0.50%,0.25%,0.25%
WedFeb 21,1:00am,JPY,Low Impact Expected,BOJ Monthly Report,,,
WedFeb 21,1:30am,JPY,High Impact Expected,BOJ Press Conference,,,
WedFeb 21,2:45am,EUR,Low Impact Expected,French Final CPI m/m,-0.4%,-0.3%,0.2%
WedFeb 21,3:00am,GBP,Medium Impact Expected,MPC Member Bean Speaks,,,
WedFeb 21,4:00am,EUR,Low Impact Expected,Current Account,2.3B,-1.2B,0.9B
WedFeb 21,4:30am,GBP,High Impact Expected,MPC Official Bank Rate Votes,2-0-7,1-0-8,5-0-4
WedFeb 21,6:00am,GBP,Medium Impact Expected,CBI Industrial Order Expectations,4,-8,-9
WedFeb 21,8:30am,CAD,High Impact Expected,Core Retail Sales m/m,2.0%,0.7%,0.2%
WedFeb 21,10:00am,USD,Low Impact Expected,CB Leading Index m/m,0.1%,0.2%,0.6%
WedFeb 21,1:00pm,USD,Medium Impact Expected,FOMC Member Kohn Speaks,,,
WedFeb 21,2:00pm,USD,High Impact Expected,FOMC Meeting Minutes,,,
WedFeb 21,6:50pm,JPY,Low Impact Expected,Trade Balance,1.09T,0.75T,0.71T
WedFeb 21,All Day,CNY,Non-Economic,Bank Holiday,,,
WedFeb 21,8:00pm,NZD,Low Impact Expected,Credit Card Spending y/y,6.7%,,9.9%
ThuFeb 22,2:00am,EUR,Low Impact Expected,German Final GDP q/q,0.9%,0.9%,0.9%
ThuFeb 22,3:15am,CHF,Medium Impact Expected,Employment Level,3.70M,3.69M,3.70M
ThuFeb 22,4:00am,EUR,Low Impact Expected,Italian Retail Sales m/m,0.0%,0.1%,0.3%
ThuFeb 22,4:30am,GBP,Medium Impact Expected,Prelim Business Investment q/q,3.3%,1.3%,3.1%
ThuFeb 22,5:00am,EUR,Medium Impact Expected,Industrial New Orders m/m,2.8%,0.2%,1.1%
ThuFeb 22,5:49am,GBP,Low Impact Expected,10-y Bond Auction,4.90|2.2,,4.57|2.2
ThuFeb 22,7:30am,CAD,Medium Impact Expected,Gov Council Member Kennedy Speaks,,,
ThuFeb 22,8:30am,CAD,Low Impact Expected,Corporate Profits q/q,1.5%,,2.8%
ThuFeb 22,9:00am,EUR,Medium Impact Expected,Belgian NBB Business Climate,3.5,2.2,2.1
ThuFeb 22,10:30am,USD,Low Impact Expected,Crude Oil Inventories,3.7M,1.0M,-0.6M
ThuFeb 22,6:00pm,AUD,Low Impact Expected,CB Leading Index m/m,0.2%,,0.5%
ThuFeb 22,6:50pm,JPY,Low Impact Expected,All Industries Activity m/m,0.0%,0.0%,-0.2%
ThuFeb 22,All Day,CNY,Non-Economic,Bank Holiday,,,
FriFeb 23,2:45am,EUR,Low Impact Expected,French Consumer Spending m/m,1.2%,0.2%,1.2%
FriFeb 23,4:00am,EUR,High Impact Expected,German ifo Business Climate,107.0,107.5,107.9
FriFeb 23,4:30am,GBP,High Impact Expected,Second Estimate GDP q/q,0.8%,0.8%,0.8%
SunFeb 25,4:45pm,NZD,High Impact Expected,Trade Balance,-833M,-652M,-352M
SunFeb 25,6:50pm,JPY,Medium Impact Expected,Monetary Policy Meeting Minutes,,,
SunFeb 25,7:00pm,NZD,Medium Impact Expected,ANZ Business Confidence,-5.9,,-7.7
SunFeb 25,9:00pm,NZD,High Impact Expected,Inflation Expectations q/q,2.56%,,2.73%
MonFeb 26,2:00am,EUR,Low Impact Expected,German GfK Consumer Climate,4.4,4.7,4.9
MonFeb 26,All Day,EUR,Low Impact Expected,Eurogroup Meetings,,,
MonFeb 26,12:30pm,GBP,Medium Impact Expected,MPC Member Blanchflower Speaks,,,
MonFeb 26,8:00pm,AUD,Medium Impact Expected,HIA New Home Sales m/m,5.8%,,6.0%
TueFeb 27,All Day,EUR,Medium Impact Expected,German Prelim CPI m/m,0.4%,0.5%,-0.2%
TueFeb 27,2:00am,EUR,Low Impact Expected,German Import Prices m/m,-0.7%,-0.2%,-0.3%
TueFeb 27,4:00am,CHF,Medium Impact Expected,UBS Consumption Indicator,1.95,,1.90
TueFeb 27,All Day,EUR,Low Impact Expected,ECOFIN Meetings,,,
TueFeb 27,4:30am,GBP,Medium Impact Expected,High Street Lending,37.8K,,45.5K
TueFeb 27,5:17am,EUR,Low Impact Expected,Italian 10-y Bond Auction,4.14|1.6,,4.29|1.3
TueFeb 27,8:30am,USD,High Impact Expected,Core Durable Goods Orders m/m,-3.1%,-0.2%,2.6%
TueFeb 27,9:00am,USD,Low Impact Expected,S&P/CS Composite-20 HPI y/y,0.5%,0.9%,1.8%
TueFeb 27,10:00am,USD,High Impact Expected,CB Consumer Confidence,112.5,109.0,110.2
TueFeb 27,4:45pm,NZD,Medium Impact Expected,Building Consents m/m,3.9%,,-4.9%
TueFeb 27,6:30pm,JPY,Low Impact Expected,Final Manufacturing PMI,53.0,,53.4
TueFeb 27,6:50pm,JPY,Medium Impact Expected,Prelim Industrial Production m/m,-1.5%,-1.8%,0.9%
TueFeb 27,7:30pm,AUD,Medium Impact Expected,Construction Work Done q/q,4.3%,1.5%,-2.1%
WedFeb 28,12:00am,JPY,Low Impact Expected,Housing Starts y/y,-0.7%,4.5%,10.2%
WedFeb 28,2:00am,GBP,Medium Impact Expected,Nationwide HPI m/m,0.7%,0.5%,0.3%
WedFeb 28,3:55am,EUR,Medium Impact Expected,German Unemployment Change,-69K,-78K,-70K
WedFeb 28,5:00am,EUR,Low Impact Expected,Consumer Confidence,-5,-6,-7
WedFeb 28,5:30am,CHF,Medium Impact Expected,KOF Economic Barometer,1.79,1.70,1.74
WedFeb 28,7:30am,USD,Low Impact Expected,FOMC Member Kohn Speaks,,,
WedFeb 28,8:30am,USD,High Impact Expected,Prelim GDP q/q,2.2%,2.4%,3.5%
WedFeb 28,8:55am,USD,Medium Impact Expected,FOMC Member Geithner Speaks,,,
WedFeb 28,9:00am,EUR,High Impact Expected,ECB President Trichet Speaks,,,
WedFeb 28,9:45am,USD,Medium Impact Expected,Chicago PMI,47.9,50.0,48.8
WedFeb 28,10:00am,USD,High Impact Expected,Fed Chairman Bernanke Testifies,,,
WedFeb 28,10:30am,USD,Low Impact Expected,Crude Oil Inventories,1.4M,2.1M,3.7M
WedFeb 28,4:45pm,NZD,Low Impact Expected,Visitor Arrivals m/m,-3.2%,,-1.5%
WedFeb 28,5:30pm,AUD,Low Impact Expected,AIG Manufacturing Index,57.7,,51.3
WedFeb 28,7:30pm,AUD,High Impact Expected,Private Capital Expenditure q/q,-0.2%,2.9%,-5.3%
WedFeb 28,9:30pm,CNY,Medium Impact Expected,Caixin Manufacturing PMI,53.0,,52.0
WedFeb 28,10:45pm,JPY,Low Impact Expected,10-y Bond Auction,1.67|3.9,,1.70|2.8
